objectid,filename,youtubeid,title,creator,date,description,subject,location,source,link,identifier,type,format,language,rights,rightsstatement
demo_030,https://upload.wikimedia.org/wikipedia/commons/e/e8/Fort_Drum_DN-SN-83-09891.JPEG?raw=true,,Fort Drum,U.S. Army Corps of Engineers,1909–1914 CE,"Fort Drum was constructed by the United States at the beginning of the 20th Century on El Fraile Island located in Manila Bay, and it is a heavily fortified concrete structure. Fort Drum was designed as a colossal, stone battleship with heavy reinforced concrete walls and large naval guns that made it nearly indestructible.

Fort Drum served as a defensive position during WW II, however, it was eventually overrun and damaged by Japanese forces. Today it is a ship-like ruin that serves as an important historical monument related to coastal defense in the early 20th Century.",Military Engineering; American Colonial Period; Coastal Defense; War History; Architecture,"Manila Bay, Philippines",U.S. Army Corps of Engineers / NHCP,,LK-HIS-030,Coastal Defense Fort / Military Structure,image/jpeg,English,For educational use only. Rights belong to respective institutions and sources.,https://rightsstatements.org/vocab/InC/1.0/
demo_031,https://verafiles.org/wp-content/uploads/2013/01/Cagsawa-ruins-with-Mayon-Volcano-in-the-background.jpg?raw=true,,Cagsawa Ruins,Franciscan missionaries,1724 CE (destroyed 1814),"The Cagsawa Ruins are all that remains of a 16th Century Franciscan Church that was buried by the Mayon Volcano eruption in 1814. Today the only visible structure is the bell tower, which sits partially buried under volcanic mud and ashes.

It is one of most recognizable disaster sites in the Philippines as a testament to the might of nature and also the courage and perseverance exhibited by the local populace when they rebuilt their community. The site is now a popular destination for tourists who are taking in the scenic views of Mayon Volcano.",Natural Disaster; Volcanic Eruption; Church Ruins; History; Heritage,"Albay, Philippines",National Museum / LGU Albay,,LK-HIS-031,Church Ruins / Disaster Heritage,image/jpeg,English,"Content © Verafiles, Inc. 2024. All rights reserved. Use of this material is subject to their Terms of Service and Privacy Policy, including data sharing and usage restrictions.",https://rightsstatements.org/vocab/InC/1.0/
demo_032,https://lakbaypinas.com/wp-content/uploads/2025/06/snapins-ai_3576427850137965184.jpg?raw=true,,Paoay Church,Augustinian friars; Ilocano builders,1694 CE,"The Paoay Church, or San Agustin Church, located in the municipality of the same name, is a UNESCO World Heritage Site that features a style known as Earthquake Baroque. The church was completed in the latter part of the 17th century and uses large buttresses placed along the sides to help withstand earthquakes.

The church's coral stone and brick construction shows the influence from the Spanish colonial period while being designed to make full use of the available local building materials. Today, it is considered one of the most well-known religious buildings in Northern Philippines.",Earthquake Baroque; Religion; Spanish Colonial Architecture; UNESCO Heritage; History,"Ilocos Norte, Philippines",UNESCO / Augustinian Order,,LK-HIS-032,Church / Earthquake Baroque Architecture,image/jpeg,English,For educational use only. Rights belong to respective institutions and sources.,https://lakbaypinas.com/terms-and-conditions/
demo_033,https://gttp.images.tshiftcdn.com/225909/x/0/guide-to-vigan-city-in-ilocos-sur-province-everything-you-need-to-know-8.jpg?auto=compress%2Cformat&ch=Width%2CDPR&dpr=1&ixlib=php-3.3.0&w=883?raw=true,,Vigan Historic City,Spanish colonial planners; Filipino artisans,16th century CE (Spanish colonial period),"Vigan is another example of a UNESCO World Heritage Site, recognized for its preservation of Spanish Colonial architecture and lifestyle. The city also features cobblestone streets, many ancestral homes, and has an overall atmosphere of a Spanish Colonial lifestyle from the late 1600s to early 1700s. When walking along Calle Crisologo, it is like taking a trip back in time to the 18th and 19th centuries. The city of Vigan is a true blending of different cultures (Filipino, Chinese, and Spanish) and how each has influenced the course of history.",Heritage City; Spanish Colonial Urban Planning; Architecture; Culture; UNESCO Site,"Ilocos Sur, Philippines",UNESCO / LGU Vigan,,LK-HIS-033,Heritage City / Urban Architecture,image/jpeg; video/mp4,English,Image sourced from UNESCO and used for educational and non-commercial purposes only. Some UNESCO materials may be licensed under Creative Commons terms with required attribution.,https://rightsstatements.org/vocab/InC/1.0/
demo_034,https://github.com/J1chii/Archaeology/blob/main/objects/IBarasoainChurch.jpeg?raw=true,,Barasoain Church,Augustinian friars,1888 CE,"Barasoain Church is considered one of the most significant historical churches in the Philippines. It has been referred to as the “Cradle of Democracy in the East” as it hosted the First Philippine Republic in 1899. During the Philippine Revolution against Spain and the early creation of the Philippines’ government, Barasoain Church was crucial. In current times, Barasoain Church continues to be a symbol of independence and democracy; it is also thought to represent national identity and unite people in these values.",Philippine Revolution; Religion; National History; Independence; Heritage,"Malolos, Bulacan, Philippines",National Historical Commission of the Philippines,,LK-HIS-034,Church / Historical Site,image/jpeg,English,Copyright © The Kahimyang Project. Licensed under Creative Commons 3.0.,https://rightsstatements.org/vocab/InC/1.0/
demo_035,https://junsjazzimages.wordpress.com/wp-content/uploads/2013/03/jjbw138.jpg?raw=true,,Miagao Church,"Augustinian friars, local artisans",1787 CE,"The Church of Santo Tomas de Villanueva was built in 1787 and is a UNESCO World Heritage Site. The architectural style of Miagao Church is referred to as ""Earthquake Baroque,"" and the exterior decoration features intricate carvings of local vegetation, including coconut and papaya trees, which create an interesting fusion of native Filipino and Spanish missionary aesthetics. In addition to serving as a place of worship during the Spanish colonial period, Miagao Church also functioned as a fortress to help defend against pirate raids due to its solid construction and extensive fortifications.",Baroque Architecture; Religion; UNESCO Heritage; Spanish Philippines; Culture,"Iloilo, Philippines",UNESCO / Augustinian Order,,LK-HIS-035,Church / UNESCO Heritage Site,image/jpeg,English,Content sourced from Juns Jazz Images and used for educational and non-commercial purposes only. No reuse or redistribution without permission from the creator.,https://rightsstatements.org/vocab/InC/1.0/
demo_036,https://upload.wikimedia.org/wikipedia/commons/0/07/Jose_Rizal_Shrine%2C_Dapitan%2C_Zamboanga_del_Norte.JPG?raw=true,,Rizal Shrine in Dapitan,José Rizal (designed and built with locals),1892–1896 CE,"The Rizal Shrine in Dapitan, Mindanao, is a restored house belonging to national hero Dr. Jose Rizal during his period of exile from 1892 until he was executed on December 30, 1896. During his time in Dapitan, Rizal practiced medicine, educated local children, conducted scientific research and developed projects to improve the communities where he lived. The shrine contains his residence, clinic, school and farming areas, all demonstrating his incredible range of talents and contributions to society during the period of his exile and today serves as a museum that honors his life and accomplishments.",José Rizal; National Hero; History; Exile Period; Heritage,"Dapitan, Zamboanga del Norte, Philippines",National Historical Commission of the Philippines,,LK-MOD-036,Shrine / Historical House,image/jpeg,English,For educational use only. Rights belong to respective institutions and sources.,https://rightsstatements.org/vocab/InC/1.0/
demo_037,https://philhistoricsites.nhcp.gov.ph/wp-content/uploads/2023/06/Bahay-ni-Aguinaldo-1.jpg?raw=true,,Aguinaldo Shrine,Emilio Aguinaldo (designed/modified residence),"1840s CE (house), declared shrine 1964 CE","Emilio Aguinaldo’s family home serves as the Aguinaldo Shrine, where Aguinaldo was the first President of the Philippines. It is here that the Philippines declared independence from Spain on June 12, 1898.

The house has a beautiful balcony where they first raised the Philippine flag and played the National Anthem. It now operates as a museum containing revolutionary artifacts and historical documents.",Philippine Independence; Revolution; National History; Leadership; Heritage,"Kawit, Cavite, Philippines",National Historical Commission of the Philippines,,LK-MOD-037,Shrine / Historical House,image/jpeg,English,Image sourced from the National Historical Commission of the Philippines Historic Sites Registry. Materials are in the public domain unless otherwise stated by NHCP.,https://rightsstatements.org/vocab/InC/1.0/
demo_038,https://github.com/J1chii/Archaeology/blob/main/objects/LeyteLanding.webp?raw=true,,Leyte Landing Memorial,American government / WWII memorial designers,1975 CE,"The Leyte Landing Memorial, also known as the MacArthur Landing Memorial, commemorates the return of General Douglas MacArthur to the Philippines on October 20, 1944 during World War II. This event marked the beginning of the liberation of the country from Japanese occupation.

The site features large bronze statues of MacArthur and his troops wading ashore in Leyte Gulf, symbolizing the fulfillment of his famous promise, “I shall return.”",World War II; Liberation of the Philippines; History; War Memorial; Allied Forces,"Palo, Leyte, Philippines",National Historical Commission of the Philippines,,LK-MOD-038,War Memorial / Monument,image/jpeg,English,For educational use only. Rights belong to respective institutions and sources.,https://rightsstatements.org/vocab/InC/1.0/
demo_039,https://upload.wikimedia.org/wikipedia/commons/9/99/Baluarte_de_San_Diego_Intramuros.jpg?raw=true,,Baluarte de San Diego,Spanish military engineers,1586 CE,"In Intramuros, one of the oldest stone forts that were built by the Spaniards in the last part of the 1500's, is called the Baluarte de San Diego (Baluarte = Fort). This fort was built as a circular fortification to defend the city of Manila from attack (i.e., to create a protective barrier around) from foreign countries. 

Since it has been destroyed and rebuilt many times throughout its history, especially in times of war and earthquakes, the Baluarte de San Diego has become a historical site with beautiful gardens and remnants of the Spanish military architectural style.",Military Architecture; Spanish Colonial Defense; Fortifications; History; Heritage,"Manila, Philippines",Intramuros Administration,,LK-HIS-039,Fortification / Bastion,image/jpeg,English,For educational use only. Rights belong to respective institutions and sources.,https://rightsstatements.org/vocab/InC/1.0/
demo_040,https://byunique.com/gallery/?album=1903&w=1200&h=600&crop=auto?raw=true,fM7Es6MWuuY,Banaue Rice Terraces,Ifugao ancestors (indigenous farmers),"c. 2,000 years ago","The Banaue Rice Terraces are ancient agricultural landscapes that were built by the indigenous Ifugao peoples on the mountains of Ifugao 2,000 years ago. They have been called the “Eighth Wonder of the World” due to their impressive size and precision of engineering.

The terraces have a complex irrigation system that moves water from the forests above them into the terraces for rice farming on the steep mountain slopes. They represent great indigenous knowledge and sustainability, and they provide a living example of cultural heritage.",Agriculture; Indigenous Engineering; Ifugao Culture; Cultural Landscape; Irrigation Systems; Pre-colonial Heritage; UNESCO World Heritage Site,"Banaue, Ifugao, Cordillera Administrative Region, Philippines",UNESCO World Heritage Centre; Ifugao cultural heritage communities / National Museum of the Philippines,https://youtu.be/fM7Es6MWuuY?si=2v_f_jE51jE_BiWk,LK-LND-040,Cultural Landscape,image/jpeg; video/mp4,English,This video is licensed under YouTube’s Standard License and is used for educational and non-commercial purposes only. All rights belong to the original creator.,https://rightsstatements.org/vocab/InC/1.0/
demo_041,https://www.palawandays.com/wp-content/uploads/2015/02/fb968005a70f16ff6b5de5890a054eaf.jpg?raw=true,,Tabon Cave Complex,Early prehistoric Filipino communities (no single creator),"c. 47,000–6,000 years ago","The Tabon Cave Complex in Palawan is among the most ancient archaeologically significant sites in the Philippines, and it is referred to as the “Father of Philippines Civilization,"" since it contains the two oldest human remains found in the Philippines, namely, the Tabon Man fossil.

The excavations have yielded evidence of human activity dating back tens of thousands of years in the form of stone tools, pottery, and burials. The caves demonstrate that the first humans to live in the Philippines were there long before there were written records of their existence.",Human Evolution; Prehistoric Archaeology; Early Humans; Stone Age Philippines; Anthropology,"Palawan, Philippines",National Museum of the Philippines,,LK-ARC-041,Archaeological Site / Prehistoric Settlement,image/jpeg,English,For educational use only. Rights belong to respective institutions and sources.,https://rightsstatements.org/vocab/InC/1.0/
demo_042,https://kahibalo.com/wp-content/uploads/2024/10/magellans-cross-cebu-philippines-kahibalo-foundation-4.jpg?raw=true,,Magellan's Cross,Spanish and Portuguese explorers (Ferdinand Magellan expedition),1521 CE,"In 1521 after reaching Cebu, the Portuguese navigator Ferdinand Magellan erected Magellan's Cross, a wooden Christian cross. This event represented the beginning of the introduction of Christianity to the Philippines.

It is thought that the original cross lies enclosed in another cross made of wood for protection. The place exists within a small chapel near the Basilica del Santo Niño and continues to represent an important religious and historical event.",Christianity; Spanish Exploration; Colonization; Religious Symbol; History,"Cebu City, Philippines",Cebu Archdiocese,,LK-HIS-042,Religious Monument / Historical Marker,image/jpeg,English,Content sourced from The Kahibalo Project and used under Creative Commons 3.0 License for educational and non-commercial purposes with attribution.,https://rightsstatements.org/vocab/InC/1.0/
demo_043,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhvsauDJjKKBB4zO3QxKIjIxy4nhrtNw47LRw13uyNjQwfvNJK-7WPDxQBJ2wuvRQnhBkVzg3_q2HqwtPUZGb7dU1M-aI_a8tWLQOZXmgMzIF0U7mL2xBEt3U7MnznVXC1E3kZv-hTXLk4/w1200-h630-p-k-no-nu/St+Martin+de+Tours+Taal+01.jpg?raw=true,,Taal Basilica,Augustinian friars; Filipino craftsmen,1755 CE (reconstructed later),"Taal Basilica (also known as: Basilica de San Martin de Tours) is one of the largest Roman Catholic churches in Asia; it was built during the Spanish colonization of the Philippines. It is an excellent example of Earthquake Baroque architecture, built to be resistant to earthquakes.

The church has been rebuilt various times as a result of the eruption of the volcanoes and earthquakes but continues to serve as a major religious and community center in Batangas.",Religion; Baroque Architecture; Spanish Colonial Philippines; Heritage; Church History,"Taal, Batangas, Philippines",Roman Catholic Diocese of Lipa,,LK-HIS-043,Church / Religious Architecture,image/jpeg,English,Used for educational purposes only. Copyright belongs to PinasMuna.,https://rightsstatements.org/vocab/InC/1.0/
demo_044,https://upload.wikimedia.org/wikipedia/commons/d/de/Daraga_Church%2C_Daraga_Albay%2C_the_Philippines.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original?raw=true,,Daraga Church,Franciscan friars; Bicolano laborers,1773 CE,"Officially called Nuestra Señora de la Porteria Parish Church, the Daraga Church is made from baroque-style and completed in 1773 by Franciscan Missionaries. Known for having a thick volcanic stone footings and a highly decorative exterior finish, the Daraga Church provides a great view of Mayon Volcano. It represents one of the best examples of Earthquake Baroque architecture, and has stood up to numerous volcanic eruptions and other natural disasters making it both a religious symbol and an important part of our history and culture.",Religion; Baroque Architecture; Spanish Colonial Philippines; Heritage; Culture,"Albay, Philippines",National Museum / Diocese of Legazpi,,LK-HIS-044,Church / Baroque Architecture,image/jpeg,English,For educational use only. Rights belong to respective institutions and sources.,https://rightsstatements.org/vocab/InC/1.0/
demo_045,https://images.metronewscentral.net/HsdZO752za20-pinaglabanan-shrine.jpg?raw=true,,Pinaglabanan Shrine,Philippine Revolutionary forces; National Historical Commission of the Philippines (commemorative site builders),1996 CE,"The Battle of San Juan del Monte in 1896 was one of the first major battles in the Philippine Revolution against Spanish colonization, and the Pinaglabanan Shrine was built to honor this battle. On August 30, 1896, members within the revolutionary group, the Katipunan, attempted to seize a Spanish munitions depot at San Juan del Monte; they lost the battle, yet this battle sparked a wave of rebellion against Spanish rule.

Today, the Pinaglabanan Shrine includes a museum and memorial park that pay tribute to the valour of early Filipino revolutionaries.",Philippine Revolution; Katipunan; National History; Resistance; Heritage,"San Juan, Metro Manila, Philippines",National Historical Commission of the Philippines,,LK-MOD-045,War Memorial / Historical Site,image/jpeg,English,Image sourced from Metro News Central and used for educational and non-commercial purposes only. No reuse or redistribution without permission from the publisher.,https://rightsstatements.org/vocab/InC/1.0/
demo_046,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBRso5xwPz2hZyFQmUuR65JGSC27gTN6VG-g&s?raw=true,,Sandugo Shrine,Boholano people (historical event commemorated); National Historical Commission of the Philippines (monument designers),1970s CE,"The Sandugo Shrine commemorates the Blood Compact (or Sandugo) established between Spanish explorer Miguel López de Legazpi and Datu Sikatuna, a local Bohol chief, in 1565. The Blood Compact was regarded as a demonstration of friendship and alliance between the Spanish and Filipinos.

The Sandugo Shrine has several sculptures depicting the ceremonial blood compact, which serve as a reminder of the early diplomatic relationships between Spain and the Philippines.",Early Diplomacy; Spanish Contact; Blood Compact; History; Cultural Exchange,"Tagbilaran, Bohol, Philippines",National Historical Commission of the Philippines,,LK-MOD-046,Historical Monument / Commemorative Site,image/jpeg,English,"Image is copyrighted by Badz Manaois. It is used for educational and non-commercial purposes only. No reuse, reproduction, or redistribution is allowed without permission from the creator.",https://rightsstatements.org/vocab/InC/1.0/
demo_047,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjcYhyQSCf0yTrFITvFGIzVU3FhVZDrg27j2cpMk31CjOwJ8Km4io-nQEoejs74ICqgiQmf9_IvqRMq2wpYQNrbyiGxG2sZKAy1-qIW7srcNOGgjiNwWZO7wKlhVaAHBJcMhO-7SlK5slin/s800/sansebastian.jpg?raw=true,,San Sebastian Church,Spanish engineers (Genaro Palacios design),1891 CE,"The Basilica Minore de San Sebastian, or San Sebastián Church, is a unique example of a Gothic Revival style of architecture located in Manila, and it is the only all-steel church in Asia. It was prefabricated in Belgium in the 19th century, and upon completion was assembled together in the Philippines in 1891.

The architecture of San Sebastián Church was engineered in such a way as to withstand earthquakes, as well as having beautiful stained-glass windows and other elaborate examples of Gothic Architecture on the inside. It is said to be one of the most architecturally unique churches found in the country.",Neo-Gothic Architecture; Religion; Iron Church; Spanish Colonial Era; Heritage,"Manila, Philippines",Archdiocese of Manila,,LK-HIS-047,Church / Neo-Gothic Architecture,image/jpeg,English,Image sourced from TICCIH Philippines and used for educational and non-commercial purposes only. No reuse or redistribution without permission from the organization.,https://rightsstatements.org/vocab/InC/1.0/
demo_048,https://github.com/J1chii/Archaeology/blob/main/objects/Casa%20Manila.jpg?raw=true,,Casa Manila,Imelda Marcos (conceptualization); Filipino heritage architects and craftsmen,1981 CE (museum reconstruction),"Casa Manila is a reconstructed Spanish Colonial-style house located in Intramuros and was built to imitate how wealthy Filipino families lived in the late 19th century when the Spanish Colonizers ruled over the Philippines.

At the Casa Manila Museum, one will find a variety of antiques that are representative of the decorations and materials that were popular during the Spanish Colonial era, as well as examples of furniture and elaborate wrought-iron railings that were typical of the period.",Colonial Lifestyle; Museum; Spanish Philippines; Heritage Reconstruction; Architecture,"Intramuros, Manila, Philippines",Intramuros Administration / National Museum,,LK-MOD-048,Museum House / Heritage Reconstruction,image/jpeg,English,For educational use only. Rights belong to respective institutions and sources.,https://rightsstatements.org/vocab/InC/1.0/
demo_049,https://philhistoricsites.nhcp.gov.ph/wp-content/uploads/2023/06/Fort-Pilar-2.jpg?raw=true,,Fort Pilar,Spanish military engineers,1635 CE,"Zamboanga City is home to Fort Pilar, a 17th century Spanish fortress that served as protection against pirates and foreign countries. In present-day Zamboanga City, Fort Pillar is a significant historical reference point while also serving as a place of worship to Our Lady of the Pillar. As such, the site remains one of Mindanao's most important cultural and spiritual places.",Military History; Spanish Fortifications; Religion; Zamboanga Heritage; Colonial Philippines,"Zamboanga City, Philippines",National Museum / Zamboanga LGU,,LK-HIS-049,Fort / Military Religious Site,image/jpeg,English,Image sourced from the National Historical Commission of the Philippines Historic Sites Registry. Materials are in the public domain unless otherwise stated by NHCP.,https://rightsstatements.org/vocab/InC/1.0/
demo_050,https://thehappytrip.com/wp-content/uploads/2011/07/384876_10150478423628017_56162774_n.jpg?raw=true,,The Ruins (Negros Occidental),Don Mariano Ledesma Lacson (commissioned mansion builders),c. 1920s CE,"The Ruins are the remnants of a magnificent mansion built in the early 1900s by sugar baron Don Mariano Ledesma Lacson in Negros Occidental, Philippines. The ruins were torched during World War II to stop the Japanese military from using the mansion as a base of operations; today they consist of beautiful and expansive pieces of concrete columns and other structures that have outlived their original mode but still exhibit their former splendor. Because of the romantic and tragic story of this mansion, some people refer to it as the “Taj Mahal of Negros.”",Heritage Mansion; Colonial Architecture; World War II History; Family Estate; Tourism,"Talisay City, Negros Occidental, Philippines",LGU Talisay / heritage tourism office,,LK-HIS-050,Mansion Ruins / Heritage Structure,image/jpeg,English,Image sourced from The Happy Trip blog. Used for educational and non-commercial purposes only. No reuse or redistribution without permission from the author.,https://rightsstatements.org/vocab/InC/1.0/
